Dec_Output X,Dec_Output Y
0.001202,44
0.001203,20
0.001204,41
0.001205,24
0.001206,38
0.001207,27
0.001208,34
0.001209,31
0.00121,30
0.001211,34
0.001212,27
0.001213,38
0.001214,23
0.001215,41
0.001216,20
0.001217,44
0.001218,17
0.001219,48
0.00122,14
0.001221,51
0.001222,11
0.001223,53
0.001224,8
0.001225,56
0.001226,6
0.001227,58
0.001228,4
0.001229,60
0.00123,3
0.001231,61
0.001232,1
0.001233,62
0.001234,0
0.001235,63
0.001236,0
0.001237,63
0.001238,0
0.001239,63
0.00124,0
0.001241,63
0.001242,0
0.001243,62
0.001244,1
0.001245,61
0.001246,3
0.001247,60
0.001248,4
0.001249,58
0.00125,6
0.001251,56
0.001252,9
0.001253,53
0.001254,11
0.001255,50
0.001256,14
0.001257,47
0.001258,17
0.001259,44
0.00126,20
0.001261,41
0.001262,24
0.001263,37
0.001264,27
0.001265,34
0.001266,31
0.001267,30
0.001268,35
0.001269,27
0.00127,38
0.001271,23
0.001272,41
0.001273,20
0.001274,45
0.001275,17
0.001276,48
0.001277,14
0.001278,51
0.001279,11
0.00128,53
0.001281,8
0.001282,56
0.001283,6
0.001284,58
0.001285,4
0.001286,60
0.001287,3
0.001288,61
0.001289,1
0.00129,62
0.001291,0
0.001292,63
0.001293,0
0.001294,63
0.001295,0
0.001296,63
0.001297,0
0.001298,63
0.001299,0
0.0013,62
0.001301,1
0.001302,61
0.001303,3
0.001304,59
0.001305,4
0.001306,58
0.001307,6
0.001308,55
0.001309,9
0.00131,53
0.001311,11
0.001312,50
0.001313,14
0.001314,47
0.001315,17
0.001316,44
0.001317,21
0.001318,41
0.001319,24
0.00132,37
0.001321,28
0.001322,34
0.001323,31
0.001324,30
0.001325,35
0.001326,27
0.001327,38
0.001328,23
0.001329,42
0.00133,20
0.001331,45
0.001332,17
0.001333,48
0.001334,14
0.001335,51
0.001336,11
0.001337,54
0.001338,8
0.001339,56
0.00134,6
0.001341,58
0.001342,4
0.001343,60
0.001344,2
0.001345,61
0.001346,1
0.001347,62
0.001348,0
0.001349,63
0.00135,0
0.001351,63
0.001352,0
0.001353,63
0.001354,0
0.001355,63
0.001356,1
0.001357,62
0.001358,1
0.001359,61
0.00136,3
0.001361,59
0.001362,4
0.001363,58
0.001364,7
0.001365,55
0.001366,9
0.001367,53
0.001368,12
0.001369,50
0.00137,14
0.001371,47
0.001372,18
0.001373,44
0.001374,21
0.001375,40
0.001376,24
0.001377,37
0.001378,28
0.001379,33
0.00138,31
0.001381,30
0.001382,35
0.001383,26
0.001384,38
0.001385,23
0.001386,42
0.001387,20
0.001388,45
0.001389,16
0.00139,48
0.001391,13
0.001392,51
0.001393,11
0.001394,54
0.001395,8
0.001396,56
0.001397,6
0.001398,58
0.001399,4
0.0014,60
0.001401,2
0.001402,61
0.001403,1
0.001404,62
0.001405,0
0.001406,63
0.001407,0
0.001408,63
0.001409,0
0.00141,63
0.001411,0
0.001412,63
0.001413,1
0.001414,62
0.001415,2
0.001416,61
0.001417,3
0.001418,59
0.001419,5
0.00142,57
0.001421,7
0.001422,55
0.001423,9
0.001424,53
0.001425,12
0.001426,50
0.001427,15
0.001428,47
0.001429,18
0.00143,44
0.001431,21
0.001432,40
0.001433,25
0.001434,37
0.001435,28
0.001436,33
0.001437,32
0.001438,30
0.001439,35
0.00144,26
0.001441,39
0.001442,23
0.001443,42
0.001444,19
0.001445,45
0.001446,16
0.001447,48
0.001448,13
0.001449,51
0.00145,10
0.001451,54
0.001452,8
0.001453,56
0.001454,6
0.001455,58
0.001456,4
0.001457,60
0.001458,2
0.001459,61
0.00146,1
0.001461,62
0.001462,0
0.001463,63
0.001464,0
0.001465,63
0.001466,0
0.001467,63
0.001468,0
0.001469,63
0.00147,1
0.001471,62
0.001472,2
0.001473,61
0.001474,3
0.001475,59
0.001476,5
0.001477,57
0.001478,7
0.001479,55
0.00148,9
0.001481,53
0.001482,12
0.001483,50
0.001484,15
0.001485,47
0.001486,18
0.001487,43
0.001488,21
0.001489,40
0.00149,25
0.001491,37
0.001492,28
0.001493,33
0.001494,32
0.001495,29
0.001496,35
0.001497,26
0.001498,39
0.001499,23
0.0015,42
