Dec_Output X,Dec_Output Y
0.001611,58
0.001612,59
0.001613,60
0.001614,60
0.001615,61
0.001616,62
0.001617,62
0.001618,63
0.001619,63
0.00162,63
0.001621,63
0.001622,63
0.001623,63
0.001624,63
0.001625,63
0.001626,63
0.001627,62
0.001628,62
0.001629,61
0.00163,61
0.001631,60
0.001632,59
0.001633,58
0.001634,57
0.001635,56
0.001636,55
0.001637,53
0.001638,52
0.001639,51
0.00164,49
0.001641,48
0.001642,46
0.001643,44
0.001644,43
0.001645,41
0.001646,39
0.001647,38
0.001648,36
0.001649,34
0.00165,32
0.001651,31
0.001652,29
0.001653,27
0.001654,25
0.001655,24
0.001656,22
0.001657,20
0.001658,19
0.001659,17
0.00166,15
0.001661,14
0.001662,12
0.001663,11
0.001664,10
0.001665,8
0.001666,7
0.001667,6
0.001668,5
0.001669,4
0.00167,3
0.001671,2
0.001672,2
0.001673,1
0.001674,1
0.001675,0
0.001676,0
0.001677,0
0.001678,0
0.001679,0
0.00168,0
0.001681,0
0.001682,0
0.001683,0
0.001684,1
0.001685,1
0.001686,2
0.001687,3
0.001688,3
0.001689,4
0.00169,5
0.001691,6
0.001692,7
0.001693,9
0.001694,10
0.001695,11
0.001696,13
0.001697,14
0.001698,16
0.001699,17
0.0017,19
0.001701,20
0.001702,22
0.001703,24
0.001704,25
0.001705,27
0.001706,29
0.001707,31
0.001708,33
0.001709,34
0.00171,36
0.001711,38
0.001712,40
0.001713,41
0.001714,43
0.001715,45
0.001716,46
0.001717,48
0.001718,49
0.001719,51
0.00172,52
0.001721,53
0.001722,55
0.001723,56
0.001724,57
0.001725,58
0.001726,59
0.001727,60
0.001728,61
0.001729,61
0.00173,62
0.001731,62
0.001732,63
0.001733,63
0.001734,63
0.001735,63
0.001736,63
0.001737,63
0.001738,63
0.001739,63
0.00174,63
0.001741,62
0.001742,62
0.001743,61
0.001744,60
0.001745,60
0.001746,59
0.001747,58
0.001748,57
0.001749,56
0.00175,54
0.001751,53
0.001752,52
0.001753,50
0.001754,49
0.001755,47
0.001756,46
0.001757,44
0.001758,42
0.001759,41
0.00176,39
0.001761,37
0.001762,36
0.001763,34
0.001764,32
0.001765,30
0.001766,28
0.001767,27
0.001768,25
0.001769,23
0.00177,22
0.001771,20
0.001772,18
0.001773,17
0.001774,15
0.001775,14
0.001776,12
0.001777,11
0.001778,9
0.001779,8
0.00178,7
0.001781,6
0.001782,5
0.001783,4
0.001784,3
0.001785,2
0.001786,2
0.001787,1
0.001788,1
0.001789,0
0.00179,0
0.001791,0
0.001792,0
0.001793,0
0.001794,0
0.001795,0
0.001796,0
0.001797,0
0.001798,1
0.001799,1
0.0018,2
0.001801,3
0.001802,4
0.001803,4
0.001804,5
0.001805,6
0.001806,8
0.001807,9
0.001808,10
0.001809,11
0.00181,13
0.001811,14
0.001812,16
0.001813,17
0.001814,19
0.001815,21
0.001816,22
0.001817,24
0.001818,26
0.001819,28
0.00182,29
0.001821,31
0.001822,33
0.001823,35
0.001824,36
0.001825,38
0.001826,40
0.001827,42
0.001828,43
0.001829,45
0.00183,47
0.001831,48
0.001832,50
0.001833,51
0.001834,52
0.001835,54
0.001836,55
0.001837,56
0.001838,57
0.001839,58
0.00184,59
0.001841,60
0.001842,61
0.001843,61
0.001844,62
0.001845,63
0.001846,63
0.001847,63
0.001848,63
0.001849,63
0.00185,63
0.001851,63
0.001852,63
0.001853,63
0.001854,63
0.001855,62
0.001856,62
0.001857,61
0.001858,60
0.001859,59
0.00186,58
0.001861,57
0.001862,56
0.001863,55
0.001864,54
0.001865,53
0.001866,51
0.001867,50
0.001868,48
0.001869,47
0.00187,45
0.001871,44
0.001872,42
0.001873,40
0.001874,39
0.001875,37
0.001876,35
0.001877,33
0.001878,32
0.001879,30
0.00188,28
0.001881,26
